,id,youtube_id,player,sex,club,view,slow,events,bbox,split
43,43,j6h-3Ez0714,COLIN MONTGOMERIE,m,driver,down-the-line,0,[1468 1602 1612 1617 1625 1630 1633 1636 1658 1696],[0.11171875 0.00138889 0.5578125  0.99930556],2
44,44,j6h-3Ez0714,COLIN MONTGOMERIE,m,driver,face-on,1,[2168 2204 2246 2259 2295 2313 2327 2337 2405 2417],[7.42187500e-02 6.94444444e-04 8.06250000e-01 1.00000000e+00],2
45,45,BlDsHA-HNlI,KEVIN NA,m,driver,down-the-line,0,[331 362 371 377 391 396 398 401 415 475],[0.1609375  0.03194444 0.428125   0.93194444],2
46,46,BlDsHA-HNlI,KEVIN NA,m,driver,down-the-line,1,[632 639 672 693 750 771 781 791 848 868],[0.15703125 0.00555556 0.4203125  0.93888889],2
47,47,4HzLO88ryCU,TIGER WOODS,m,iron,down-the-line,0,[426 458 470 473 481 485 488 490 505 529],[2.21875000e-01 6.94444444e-04 3.38281250e-01 9.75694444e-01],3
48,48,4HzLO88ryCU,TIGER WOODS,m,iron,down-the-line,1,[690 734 775 788 814 835 846 855 899 971],[0.23515625 0.00555556 0.3421875  0.99513889],3
49,49,TPZq62zK2Lc,JIM THORPE,m,driver,other,0,[227 261 272 278 284 288 291 294 316 343],[1.84375000e-01 6.94444444e-04 4.54687500e-01 7.11805556e-01],2
50,50,TPZq62zK2Lc,JIM THORPE,m,driver,down-the-line,1,[513 532 573 599 620 638 649 659 719 755],[0.21640625 0.00069444 0.44296875 0.65625   ],2
51,51,kSCTyo10cnU,BROOKE HENDERSON,f,driver,face-on,0,[301 611 632 637 646 650 654 656 671 712],[0.05078125 0.00138889 0.8        0.99722222],2
52,52,kSCTyo10cnU,BROOKE HENDERSON,f,driver,face-on,1,[1012 1080 1166 1183 1219 1237 1252 1261 1317 1335],[5.15625000e-02 6.94444444e-04 8.18750000e-01 1.00000000e+00],2
53,53,3DNKkJr0L2Q,GENE SAUERS,m,driver,other,0,[331 368 384 388 398 402 405 408 424 456],[0.140625   0.05138889 0.48046875 0.93194444],1
54,54,3DNKkJr0L2Q,GENE SAUERS,m,driver,other,1,[552 566 627 641 680 698 711 719 780 819],[0.14609375 0.07083333 0.44609375 0.91944444],1
55,55,JiAUPOcDAJQ,BEATRIZ RECARI,f,driver,down-the-line,0,[601 643 659 664 672 675 679 682 704 764],[3.90625000e-04 6.94444444e-04 6.28515625e-01 9.97916667e-01],1
56,56,JiAUPOcDAJQ,BEATRIZ RECARI,f,driver,down-the-line,1,[1030 1119 1182 1204 1236 1249 1263 1276 1355 1456],[3.90625000e-04 6.94444444e-04 6.16015625e-01 9.96527778e-01],1
57,57,ra887418NaA,JUSTIN LEONARD,m,driver,other,0,[499 567 582 588 593 598 601 604 617 642],[0.1609375  0.31388889 0.34765625 0.65277778],1
58,58,ra887418NaA,JUSTIN LEONARD,m,driver,other,1,[ 951  996 1041 1064 1089 1106 1119 1127 1182 1203],[0.1578125  0.32083333 0.34765625 0.64305556],1
59,59,KR9Umr1GM-U,RORY MCILROY,m,iron,other,0,[366 388 399 403 410 414 417 419 435 469],[2.24218750e-01 6.94444444e-04 5.83593750e-01 8.67361111e-01],3
60,60,TH7DFdUqV0U,HA NA JANG,f,driver,face-on,0,[241 291 306 312 321 327 331 333 347 375],[7.18750000e-02 6.94444444e-04 8.63281250e-01 9.74305556e-01],4
61,61,TH7DFdUqV0U,HA NA JANG,f,driver,face-on,1,[765 811 843 857 878 890 896 901 928 936],[6.09375000e-02 6.94444444e-04 8.89062500e-01 9.88194444e-01],4
62,62,YqsCyYTKpZg,JENNY SHIN,f,driver,down-the-line,0,[301 314 338 347 355 360 364 366 382 415],[5.31250000e-02 6.94444444e-04 6.09375000e-01 1.00000000e+00],3
63,63,YqsCyYTKpZg,JENNY SHIN,f,driver,down-the-line,1,[540 617 713 744 778 798 814 825 879 909],[8.51562500e-02 6.94444444e-04 5.97656250e-01 9.95138889e-01],3
64,64,nlK1PSI-id0,NELLY KORDA,f,fairway,down-the-line,0,[511 547 563 569 579 583 586 589 606 647],[1.42968750e-01 6.94444444e-04 4.25000000e-01 9.86805556e-01],1
65,65,nlK1PSI-id0,NELLY KORDA,f,fairway,down-the-line,1,[1026 1052 1108 1133 1174 1189 1202 1213 1274 1327],[0.13984375 0.00138889 0.4515625  0.99930556],1
66,66,8n9BBNEj3yk,LYDIA KO,f,iron,face-on,0,[751 813 829 834 843 847 850 853 875 919],[1.57031250e-01 6.94444444e-04 7.32812500e-01 1.00000000e+00],2
67,67,8n9BBNEj3yk,LYDIA KO,f,iron,face-on,1,[1281 1283 1348 1364 1401 1417 1430 1440 1522 1539],[1.49218750e-01 6.94444444e-04 7.63281250e-01 1.00000000e+00],2
68,68,Ux61clnnHrQ,DAVIS LOVE,m,driver,other,0,[391 395 405 409 417 420 424 426 440 460],[0.1828125  0.12361111 0.35546875 0.82777778],4
69,69,Ux61clnnHrQ,DAVIS LOVE,m,driver,other,1,[670 776 819 830 860 877 890 899 943 952],[0.196875   0.14305556 0.3328125  0.8       ],4
70,70,cRnmfMLvyNE,PAULA CREAMER,f,driver,down-the-line,0,[541 572 590 594 601 604 607 610 626 650],[4.76562500e-02 6.94444444e-04 5.69531250e-01 1.00000000e+00],4
71,71,cRnmfMLvyNE,PAULA CREAMER,f,driver,down-the-line,1,[ 893  923  991 1009 1036 1047 1061 1073 1136 1210],[4.29687500e-02 6.94444444e-04 6.17187500e-01 1.00000000e+00],4
72,72,FPvudrvNw6A,JESSICA KORDA,f,driver,face-on,0,[422 445 468 475 485 488 492 494 512 547],[3.90625000e-04 6.94444444e-04 4.97265625e-01 1.00000000e+00],2
73,73,FPvudrvNw6A,JESSICA KORDA,f,driver,down-the-line,0,[421 443 468 475 485 488 492 494 513 549],[0.5        0.00277778 0.50039062 0.99791667],2
74,74,UZ9f9sukG3A,INBEE PARK,f,driver,face-on,0,[541 586 612 622 636 641 645 647 679 739],[0.084375   0.00138889 0.82890625 0.99930556],4
75,75,UZ9f9sukG3A,INBEE PARK,f,driver,face-on,1,[1048 1127 1233 1274 1326 1348 1362 1370 1477 1527],[0.07890625 0.00138889 0.8203125  0.99930556],4
76,76,ySQoKgrUsR4,CANDIE KUNG,f,driver,down-the-line,0,[301 347 358 362 371 374 378 381 406 445],[0.071875   0.00277778 0.55546875 0.99791667],4
77,77,ySQoKgrUsR4,CANDIE KUNG,f,driver,down-the-line,1,[595 704 743 759 793 809 824 836 894 936],[0.0640625  0.00416667 0.54921875 0.99652778],4
78,78,rX2f5waPikE,SANDRA GAL,f,driver,other,0,[601 665 678 686 697 701 705 707 722 767],[0.3359375  0.09861111 0.3875     0.90208333],4
79,79,rX2f5waPikE,SANDRA GAL,f,driver,other,1,[1307 1337 1393 1419 1460 1479 1493 1503 1559 1601],[0.340625   0.14583333 0.3734375  0.85486111],4
80,80,3eQd1zxKihQ,LOUIS OOSTHUIZEN,m,fairway,down-the-line,0,[121 357 367 373 381 386 389 391 406 444],[0.13046875 0.00416667 0.39140625 0.99652778],3
81,81,3eQd1zxKihQ,LOUIS OOSTHUIZEN,m,fairway,down-the-line,1,[696 722 756 777 813 831 841 850 897 949],[1.25781250e-01 6.94444444e-04 3.92968750e-01 1.00000000e+00],3
82,82,aqlJ4qQPCyk,LYDIA KO,f,fairway,down-the-line,0,[811 844 862 868 878 882 885 888 909 960],[1.72656250e-01 6.94444444e-04 4.37500000e-01 9.95138889e-01],1
83,83,aqlJ4qQPCyk,LYDIA KO,f,fairway,down-the-line,1,[1425 1470 1539 1564 1604 1622 1636 1645 1712 1738],[1.58593750e-01 6.94444444e-04 4.47656250e-01 9.92361111e-01],1
84,84,WeeSVhfc-iw,ANGEL YIN,f,iron,face-on,0,[211 257 270 274 282 286 290 293 305 395],[0.1640625  0.00138889 0.6953125  0.93472222],1
85,85,WeeSVhfc-iw,ANGEL YIN,f,iron,face-on,1,[576 601 637 649 682 700 713 727 769 804],[1.62500000e-01 6.94444444e-04 6.79687500e-01 9.28472222e-01],1
86,86,VAF1DvX9p28,AZAHARA MUNOZ,f,driver,other,0,[421 457 472 476 484 489 493 495 514 547],[3.90625000e-04 6.94444444e-04 6.70703125e-01 9.97916667e-01],4
87,87,VAF1DvX9p28,AZAHARA MUNOZ,f,driver,other,1,[ 744  805  856  869  903  922  938  948 1022 1034],[3.90625000e-04 6.94444444e-04 6.62109375e-01 9.99305556e-01],4
88,88,U1ciSCJHfPY,PAULA CREAMER,f,driver,down-the-line,0,[ 61 128 142 147 153 156 160 162 180 222],[1.39062500e-01 6.94444444e-04 5.41406250e-01 9.21527778e-01],4
89,89,U1ciSCJHfPY,PAULA CREAMER,f,driver,down-the-line,1,[605 649 703 721 746 758 773 783 845 876],[1.34375000e-01 6.94444444e-04 5.46093750e-01 9.13194444e-01],4
90,90,aTYgjFyuH_w,LINDSEY WRIGHT,f,driver,other,0,[361 367 384 390 398 404 408 410 425 460],[0.171875   0.1375     0.41953125 0.86319444],3
91,91,aTYgjFyuH_w,LINDSEY WRIGHT,f,driver,other,1,[ 790  808  866  887  920  943  959  971 1037 1046],[0.16015625 0.17777778 0.40625    0.79861111],3
92,92,1dSKw-krBIU,BUBBA WATSON,m,iron,down-the-line,0,[301 345 354 357 366 372 375 378 386 421],[3.75781250e-01 6.94444444e-04 3.63281250e-01 9.81250000e-01],4
93,93,1dSKw-krBIU,BUBBA WATSON,m,iron,down-the-line,1,[640 700 737 748 785 810 821 830 865 909],[3.94531250e-01 6.94444444e-04 3.50000000e-01 9.81250000e-01],4
94,94,02xe9gIKa_c,CHEYENNE WOODS,f,driver,down-the-line,0,[331 388 408 414 423 427 430 433 452 488],[2.96875000e-02 6.94444444e-04 6.12500000e-01 1.00000000e+00],2
95,95,02xe9gIKa_c,CHEYENNE WOODS,f,wedge,other,0,[ 833  999 1015 1021 1029 1032 1036 1039 1053 1078],[0.33515625 0.00138889 0.459375   0.99930556],2
96,96,lZhzDyZH8b0,TIGER WOODS,m,driver,other,0,[2281 2368 2383 2387 2393 2397 2400 2402 2416 2449],[3.32812500e-01 6.94444444e-04 6.67578125e-01 1.00000000e+00],1
97,97,lZhzDyZH8b0,TIGER WOODS,m,driver,other,1,[2757 2801 2845 2859 2886 2903 2915 2921 2976 2989],[3.37500000e-01 6.94444444e-04 6.62890625e-01 1.00000000e+00],1
98,98,NhB8KnoufLI,PORNANONG PHATLUM,f,iron,face-on,0,[511 538 566 576 586 591 595 598 615 647],[1.52343750e-01 6.94444444e-04 7.02343750e-01 1.00000000e+00],1
99,99,NhB8KnoufLI,PORNANONG PHATLUM,f,iron,face-on,1,[ 927  986 1091 1131 1175 1193 1207 1218 1283 1296],[0.1546875  0.00277778 0.7171875  0.99791667],1
100,100,_t_grJlqR6A,PAUL CASEY,m,iron,other,0,[ 901  956  967  971  980  983  986  988 1004 1064],[0.2421875  0.03333333 0.34921875 0.9       ],4
101,101,_t_grJlqR6A,PAUL CASEY,m,iron,other,1,[1446 1455 1495 1512 1545 1559 1570 1579 1622 1666],[0.2140625  0.00138889 0.38515625 0.95138889],4
102,102,r9Nfuhb0aYw,IN-GEE CHUN,f,driver,face-on,0,[361 398 416 423 436 440 444 447 469 496],[0.0703125  0.00138889 0.80078125 0.99930556],3
103,103,r9Nfuhb0aYw,IN-GEE CHUN,f,driver,face-on,1,[653 669 740 766 815 837 850 861 948 958],[0.08359375 0.00416667 0.79375    0.99652778],3
104,104,gVrpJYWrpLc,JOHN HUSTON,m,driver,other,0,[305 412 426 431 443 451 454 456 469 493],[0.15390625 0.09861111 0.4203125  0.875     ],2
105,105,gVrpJYWrpLc,JOHN HUSTON,m,driver,other,1,[637 677 730 755 800 824 836 844 895 932],[0.190625   0.09722222 0.384375   0.88333333],2
106,106,ZQjY2Ie4V50,CINDY LACROSSE,f,driver,down-the-line,0,[511 562 577 582 591 598 600 603 619 645],[0.0828125  0.00555556 0.52109375 0.99513889],3
107,107,ZQjY2Ie4V50,CINDY LACROSSE,f,driver,down-the-line,1,[ 891  947  996 1013 1053 1077 1089 1099 1157 1211],[8.90625000e-02 6.94444444e-04 5.19531250e-01 1.00000000e+00],3
108,108,N2M9Lpzc1tA,ANGELA STANFORD,f,driver,down-the-line,0,[ 41 290 299 303 311 315 318 321 333 414],[7.42187500e-02 6.94444444e-04 5.83593750e-01 9.99305556e-01],2
109,109,N2M9Lpzc1tA,ANGELA STANFORD,f,driver,down-the-line,1,[542 602 638 654 683 701 716 725 759 864],[9.37500000e-02 6.94444444e-04 5.92187500e-01 1.00000000e+00],2
110,110,bF8A2zdAfAs,JASON DUFNER,m,iron,face-on,0,[234 427 435 439 443 446 449 452 462 560],[1.43750000e-01 6.94444444e-04 7.76562500e-01 9.28472222e-01],4
111,111,bF8A2zdAfAs,JASON DUFNER,m,iron,face-on,1,[ 915  945  978  995 1014 1021 1036 1044 1094 1186],[1.44531250e-01 6.94444444e-04 7.87500000e-01 9.42361111e-01],4
112,112,LRks1_mag_U,MIKE WEIR,m,driver,down-the-line,0,[ 45 355 366 371 377 381 384 386 401 483],[3.39062500e-01 6.94444444e-04 4.72656250e-01 9.63194444e-01],3
113,113,LRks1_mag_U,MIKE WEIR,m,driver,down-the-line,1,[682 713 745 767 789 806 819 826 873 988],[3.42187500e-01 6.94444444e-04 4.34375000e-01 9.86805556e-01],3
114,114,04d08bM6-6U,EUN-HEE JI,f,iron,face-on,0,[651 672 719 741 779 795 809 821 899 972],[0.21171875 0.0875     0.59609375 0.89444444],3
115,115,04d08bM6-6U,EUN-HEE JI,f,iron,face-on,0,[3150 3191 3202 3209 3217 3221 3225 3236 3301 3374],[0.2125     0.05       0.6        0.92083333],3
116,116,0fJeBnmMKUw,LYDIA KO,f,iron,face-on,0,[680 793 811 817 826 829 832 835 881 992],[1.81250000e-01 6.94444444e-04 6.42968750e-01 9.89583333e-01],1
117,117,0fJeBnmMKUw,LYDIA KO,f,iron,face-on,1,[1166 1184 1247 1271 1311 1320 1332 1346 1450 1476],[1.74218750e-01 6.94444444e-04 6.50781250e-01 9.90972222e-01],1
118,118,0fJeBnmMKUw,LYDIA KO,f,iron,face-on,0,[3810 3828 3845 3852 3861 3863 3867 3880 3993 4034],[1.77343750e-01 6.94444444e-04 6.51562500e-01 9.90972222e-01],1
119,119,DZ9FpPXrD74,KEVIN CHAPPELL,m,driver,down-the-line,0,[407 434 447 451 459 462 465 467 482 594],[9.37500000e-02 6.94444444e-04 6.14843750e-01 9.99305556e-01],3
120,120,DZ9FpPXrD74,KEVIN CHAPPELL,m,fairway,down-the-line,1,[ 833  888  931  946  976  989 1001 1008 1076 1128],[1.28906250e-01 6.94444444e-04 5.78125000e-01 1.00000000e+00],3
121,121,DZ9FpPXrD74,KEVIN CHAPPELL,m,fairway,down-the-line,0,[2851 2860 2877 2881 2888 2891 2895 2902 2945 2997],[1.20312500e-01 6.94444444e-04 5.94531250e-01 9.99305556e-01],3
122,122,iuWywRQ2HCs,JOHN DALY,m,fairway,down-the-line,0,[310 341 351 354 365 368 371 373 388 432],[0.07578125 0.00277778 0.58984375 0.99791667],3
123,123,iuWywRQ2HCs,JOHN DALY,m,fairway,down-the-line,1,[ 801  833  876  887  927  942  954  962 1011 1079],[8.75000000e-02 6.94444444e-04 5.40625000e-01 9.96527778e-01],3
124,124,iuWywRQ2HCs,JOHN DALY,m,fairway,down-the-line,0,[2798 2894 2904 2907 2918 2921 2924 2931 2980 3062],[7.89062500e-02 6.94444444e-04 5.48437500e-01 9.88194444e-01],3
125,125,sMy8BTx0NwM,LYDIA KO,f,driver,down-the-line,0,[ 81 118 134 141 158 163 166 168 178 207],[1.30468750e-01 6.94444444e-04 4.92187500e-01 9.84027778e-01],2
126,126,sMy8BTx0NwM,LYDIA KO,f,driver,down-the-line,1,[368 378 443 472 531 556 569 578 624 787],[0.1078125  0.02361111 0.515625   0.97222222],2
127,127,TxtHgPKarMA,STACY LEWIS,f,driver,face-on,0,[221 254 271 275 285 289 292 295 313 375],[3.90625000e-04 6.94444444e-04 9.51953125e-01 9.96527778e-01],4
128,128,TxtHgPKarMA,STACY LEWIS,f,driver,face-on,1,[669 694 750 770 809 821 836 846 906 954],[3.90625000e-04 6.94444444e-04 8.87890625e-01 9.99305556e-01],4
129,129,TxtHgPKarMA,STACY LEWIS,f,driver,face-on,1,[2962 2972 2990 2995 3003 3008 3012 3023 3082 3158],[2.34375000e-03 6.94444444e-04 9.11718750e-01 9.86805556e-01],4
130,130,0am0Cr3Q3-Y,KEN DUKE,m,driver,down-the-line,0,[316 379 388 392 397 400 404 406 427 496],[0.13671875 0.06666667 0.3828125  0.77638889],2
131,131,0am0Cr3Q3-Y,KEN DUKE,m,driver,down-the-line,1,[647 667 699 715 742 751 765 773 843 877],[0.125      0.04027778 0.39765625 0.79722222],2
132,132,Ax_6tpWsg4M,CHARLEY HULL,f,driver,down-the-line,0,[376 408 417 422 428 431 435 437 453 518],[9.53125000e-02 6.94444444e-04 5.11718750e-01 9.67361111e-01],4
133,133,Ax_6tpWsg4M,CHARLEY HULL,f,driver,down-the-line,1,[661 665 704 725 754 764 777 786 841 896],[0.165625   0.025      0.434375   0.95138889],4
134,134,eykMCjLK6GQ,ANGEL CABRERA,m,driver,down-the-line,0,[352 369 382 385 394 399 402 404 425 470],[0.10078125 0.00277778 0.53671875 0.99791667],2
135,135,eykMCjLK6GQ,ANGEL CABRERA,m,driver,down-the-line,1,[675 709 740 752 794 808 820 828 891 938],[0.071875   0.00416667 0.5765625  0.99652778],2
136,136,7dI2HeBChks,SO YEON RYU,f,iron,other,0,[486 509 522 532 540 544 548 551 587 646],[0.29921875 0.23194444 0.34921875 0.63611111],3
137,137,7dI2HeBChks,SO YEON RYU,f,iron,other,0,[1718 1748 1762 1773 1781 1785 1789 1792 1823 1852],[0.26875    0.22777778 0.35390625 0.63611111],3
138,138,7dI2HeBChks,SO YEON RYU,f,iron,other,0,[2029 2244 2255 2266 2275 2278 2282 2285 2314 2377],[0.25859375 0.23333333 0.3765625  0.7125    ],3
139,139,7dI2HeBChks,SO YEON RYU,f,driver,other,0,[2973 2988 3005 3024 3037 3042 3047 3049 3095 3135],[3.90625000e-04 6.94444444e-04 5.98828125e-01 9.75694444e-01],3
140,140,7dI2HeBChks,SO YEON RYU,f,driver,other,0,[3672 3700 3714 3722 3732 3736 3740 3742 3770 3809],[3.90625000e-04 6.94444444e-04 6.16015625e-01 9.82638889e-01],3
141,141,7dI2HeBChks,SO YEON RYU,f,driver,other,1,[3970 4011 4056 4098 4128 4145 4160 4172 4278 4317],[0.2765625  0.18472222 0.3796875  0.68611111],3
142,142,CzYRETTM74s,SCOTT LANGLEY,m,fairway,down-the-line,0,[765 800 809 813 818 822 825 827 842 876],[0.3625     0.05416667 0.45546875 0.93472222],2
143,143,CzYRETTM74s,SCOTT LANGLEY,m,fairway,down-the-line,1,[1273 1280 1308 1324 1352 1359 1372 1380 1444 1474],[0.36640625 0.05138889 0.39609375 0.93055556],2
144,144,LohC0R9pMvI,TIGER WOODS,m,iron,other,0,[357 385 398 401 408 412 415 417 439 473],[1.82031250e-01 6.94444444e-04 6.03125000e-01 9.70138889e-01],3
145,145,LohC0R9pMvI,TIGER WOODS,m,iron,other,1,[734 741 783 796 831 839 851 858 913 943],[1.89062500e-01 6.94444444e-04 6.47656250e-01 9.22916667e-01],3
146,146,l1KSnwqLgec,GARY WOODLAND,m,driver,down-the-line,0,[304 309 326 332 340 343 347 349 367 403],[1.06250000e-01 6.94444444e-04 5.10937500e-01 9.67361111e-01],2
